epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.639,1.17404,4.02161,1.60516,0.7068,0.10957,0.11566,0.08136,0.98718,3.6986,1.35306,5.55618e-05,5.55618e-05,5.55618e-05
2,327.67,1.11115,2.71427,1.55626,0.59187,0.21568,0.20097,0.14657,0.94144,3.32576,1.29426,0.000100217,0.000100217,0.000100217
3,455.921,1.05831,2.29503,1.48588,0.56012,0.34238,0.28791,0.20577,0.98817,3.17069,1.32906,0.00013385,0.00013385,0.00013385
4,581.999,1.00787,2.00386,1.42913,0.61203,0.35347,0.33413,0.24571,0.93126,2.96753,1.25261,0.000117401,0.000117401,0.000117401
5,719.859,0.97298,1.8007,1.38599,0.51415,0.40425,0.3583,0.26817,0.91048,2.79825,1.23272,0.000100868,0.000100868,0.000100868
6,854.968,0.93998,1.66854,1.35844,0.40478,0.48698,0.39019,0.29943,0.88919,2.75541,1.21153,8.4335e-05,8.4335e-05,8.4335e-05
7,985.384,0.91244,1.55825,1.32914,0.43999,0.48899,0.40145,0.31321,0.88505,2.62619,1.20497,6.7802e-05,6.7802e-05,6.7802e-05
8,1110.07,0.89486,1.4902,1.30639,0.48385,0.47044,0.43886,0.34528,0.86108,2.61351,1.18705,5.1269e-05,5.1269e-05,5.1269e-05
9,1233.61,0.87856,1.42774,1.29585,0.37762,0.5339,0.43087,0.33912,0.87131,2.54241,1.18881,3.4736e-05,3.4736e-05,3.4736e-05
10,1352.6,0.85845,1.37127,1.27793,0.39498,0.52131,0.44268,0.35021,0.85808,2.54767,1.17976,1.8203e-05,1.8203e-05,1.8203e-05
